 UPDATE  The latest version of `serve` is 14.2.6
 HTTP  7/3/2026 4:47:30 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:30 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:30 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:30 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:30 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:30 pm ::1 GET /assets/assets/images/icon.60bae712bdd8adad2bc0ac5d33ad0531.png
 HTTP  7/3/2026 4:47:30 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:31 pm ::1 GET /login
 HTTP  7/3/2026 4:47:31 pm ::1 Returned 200 in 4 ms
 HTTP  7/3/2026 4:47:31 pm ::1 GET /_expo/static/js/web/entry-90d754d55e2b0ff395b17ba7c0113c04.js
 HTTP  7/3/2026 4:47:31 pm ::1 Returned 304 in 1 ms
 HTTP  7/3/2026 4:47:31 pm ::1 GET /assets/assets/images/logo-glow.dbca075a49dc45e550c5d2e3e9601039.png
 HTTP  7/3/2026 4:47:31 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:31 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:31 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:31 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:31 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:31 pm ::1 GET /assets/assets/images/icon.60bae712bdd8adad2bc0ac5d33ad0531.png
 HTTP  7/3/2026 4:47:31 pm ::1 Returned 304 in 1 ms
 HTTP  7/3/2026 4:47:32 pm ::1 GET /business-select
 HTTP  7/3/2026 4:47:32 pm ::1 Returned 200 in 3 ms
 HTTP  7/3/2026 4:47:32 pm ::1 GET /_expo/static/js/web/entry-90d754d55e2b0ff395b17ba7c0113c04.js
 HTTP  7/3/2026 4:47:32 pm ::1 Returned 304 in 3 ms
 HTTP  7/3/2026 4:47:32 pm ::1 GET /assets/assets/images/logo-glow.dbca075a49dc45e550c5d2e3e9601039.png
 HTTP  7/3/2026 4:47:32 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:32 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:32 pm ::1 Returned 304 in 1 ms
 HTTP  7/3/2026 4:47:32 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:32 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:32 pm ::1 GET /assets/node_modules/.pnpm/@expo+vector-icons@15.1.1_e_0551bb4c91465be345a06121634ce70b/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.6e435534bd35da5fef04168860a9b8fa.ttf
 HTTP  7/3/2026 4:47:32 pm ::1 Returned 200 in 9 ms
 HTTP  7/3/2026 4:47:33 pm ::1 GET /billing
 HTTP  7/3/2026 4:47:33 pm ::1 Returned 200 in 4 ms
 HTTP  7/3/2026 4:47:33 pm ::1 GET /_expo/static/js/web/entry-90d754d55e2b0ff395b17ba7c0113c04.js
 HTTP  7/3/2026 4:47:33 pm ::1 Returned 304 in 1 ms
 HTTP  7/3/2026 4:47:33 pm ::1 GET /assets/assets/images/logo-glow.dbca075a49dc45e550c5d2e3e9601039.png
 HTTP  7/3/2026 4:47:33 pm ::1 Returned 304 in 1 ms
 HTTP  7/3/2026 4:47:33 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:33 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:33 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:33 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:34 pm ::1 GET /assets/node_modules/.pnpm/@expo+vector-icons@15.1.1_e_0551bb4c91465be345a06121634ce70b/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.6e435534bd35da5fef04168860a9b8fa.ttf
 HTTP  7/3/2026 4:47:34 pm ::1 Returned 304 in 4 ms
 HTTP  7/3/2026 4:47:35 pm ::1 GET /billing/create?type=TAX_INVOICE
 HTTP  7/3/2026 4:47:35 pm ::1 Returned 200 in 8 ms
 HTTP  7/3/2026 4:47:35 pm ::1 GET /_expo/static/js/web/entry-90d754d55e2b0ff395b17ba7c0113c04.js
 HTTP  7/3/2026 4:47:35 pm ::1 Returned 304 in 3 ms
 HTTP  7/3/2026 4:47:35 pm ::1 GET /assets/assets/images/logo-glow.dbca075a49dc45e550c5d2e3e9601039.png
 HTTP  7/3/2026 4:47:35 pm ::1 Returned 304 in 1 ms
 HTTP  7/3/2026 4:47:35 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:35 pm ::1 Returned 304 in 3 ms
 HTTP  7/3/2026 4:47:35 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:35 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:35 pm ::1 GET /assets/node_modules/.pnpm/@expo+vector-icons@15.1.1_e_0551bb4c91465be345a06121634ce70b/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.6e435534bd35da5fef04168860a9b8fa.ttf
 HTTP  7/3/2026 4:47:35 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:36 pm ::1 GET /billing/pos
 HTTP  7/3/2026 4:47:36 pm ::1 Returned 200 in 2 ms
 HTTP  7/3/2026 4:47:36 pm ::1 GET /_expo/static/js/web/entry-90d754d55e2b0ff395b17ba7c0113c04.js
 HTTP  7/3/2026 4:47:36 pm ::1 Returned 304 in 4 ms
 HTTP  7/3/2026 4:47:36 pm ::1 GET /assets/assets/images/logo-glow.dbca075a49dc45e550c5d2e3e9601039.png
 HTTP  7/3/2026 4:47:36 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:36 pm ::1 Returned 304 in 4 ms
 HTTP  7/3/2026 4:47:36 pm ::1 Returned 304 in 3 ms
 HTTP  7/3/2026 4:47:36 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:36 pm ::1 Returned 304 in 3 ms
 HTTP  7/3/2026 4:47:36 pm ::1 GET /assets/node_modules/.pnpm/@expo+vector-icons@15.1.1_e_0551bb4c91465be345a06121634ce70b/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.6e435534bd35da5fef04168860a9b8fa.ttf
 HTTP  7/3/2026 4:47:36 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:37 pm ::1 GET /billing/purchase-bill
 HTTP  7/3/2026 4:47:37 pm ::1 Returned 200 in 1 ms
 HTTP  7/3/2026 4:47:37 pm ::1 GET /_expo/static/js/web/entry-90d754d55e2b0ff395b17ba7c0113c04.js
 HTTP  7/3/2026 4:47:37 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:37 pm ::1 GET /assets/assets/images/logo-glow.dbca075a49dc45e550c5d2e3e9601039.png
 HTTP  7/3/2026 4:47:37 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:37 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:37 pm ::1 Returned 304 in 1 ms
 HTTP  7/3/2026 4:47:37 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:37 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:37 pm ::1 GET /assets/node_modules/.pnpm/@expo+vector-icons@15.1.1_e_0551bb4c91465be345a06121634ce70b/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.6e435534bd35da5fef04168860a9b8fa.ttf
 HTTP  7/3/2026 4:47:37 pm ::1 Returned 304 in 3 ms
 HTTP  7/3/2026 4:47:38 pm ::1 GET /billing/estimate
 HTTP  7/3/2026 4:47:38 pm ::1 Returned 200 in 4 ms
 HTTP  7/3/2026 4:47:38 pm ::1 GET /_expo/static/js/web/entry-90d754d55e2b0ff395b17ba7c0113c04.js
 HTTP  7/3/2026 4:47:38 pm ::1 Returned 304 in 9 ms
 HTTP  7/3/2026 4:47:38 pm ::1 GET /assets/assets/images/logo-glow.dbca075a49dc45e550c5d2e3e9601039.png
 HTTP  7/3/2026 4:47:38 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:38 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:38 pm ::1 Returned 304 in 1 ms
 HTTP  7/3/2026 4:47:38 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:38 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:39 pm ::1 GET /assets/node_modules/.pnpm/@expo+vector-icons@15.1.1_e_0551bb4c91465be345a06121634ce70b/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.6e435534bd35da5fef04168860a9b8fa.ttf
 HTTP  7/3/2026 4:47:39 pm ::1 Returned 304 in 3 ms
 HTTP  7/3/2026 4:47:39 pm ::1 GET /billing/sale-order
 HTTP  7/3/2026 4:47:39 pm ::1 Returned 200 in 5 ms
 HTTP  7/3/2026 4:47:39 pm ::1 GET /_expo/static/js/web/entry-90d754d55e2b0ff395b17ba7c0113c04.js
 HTTP  7/3/2026 4:47:39 pm ::1 Returned 304 in 4 ms
 HTTP  7/3/2026 4:47:39 pm ::1 GET /assets/assets/images/logo-glow.dbca075a49dc45e550c5d2e3e9601039.png
 HTTP  7/3/2026 4:47:39 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:39 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:39 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:40 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:40 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:40 pm ::1 GET /assets/node_modules/.pnpm/@expo+vector-icons@15.1.1_e_0551bb4c91465be345a06121634ce70b/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.6e435534bd35da5fef04168860a9b8fa.ttf
 HTTP  7/3/2026 4:47:40 pm ::1 Returned 304 in 1 ms
 HTTP  7/3/2026 4:47:41 pm ::1 GET /billing/purchase-order
 HTTP  7/3/2026 4:47:41 pm ::1 Returned 200 in 2 ms
 HTTP  7/3/2026 4:47:41 pm ::1 GET /_expo/static/js/web/entry-90d754d55e2b0ff395b17ba7c0113c04.js
 HTTP  7/3/2026 4:47:41 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:41 pm ::1 GET /assets/assets/images/logo-glow.dbca075a49dc45e550c5d2e3e9601039.png
 HTTP  7/3/2026 4:47:41 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:41 pm ::1 Returned 304 in 38 ms
 HTTP  7/3/2026 4:47:41 pm ::1 Returned 304 in 34 ms
 HTTP  7/3/2026 4:47:41 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:41 pm ::1 GET /assets/node_modules/.pnpm/@expo+vector-icons@15.1.1_e_0551bb4c91465be345a06121634ce70b/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.6e435534bd35da5fef04168860a9b8fa.ttf
 HTTP  7/3/2026 4:47:41 pm ::1 Returned 200 in 13 ms
 HTTP  7/3/2026 4:47:41 pm ::1 Returned 304 in 13 ms
 HTTP  7/3/2026 4:47:42 pm ::1 GET /billing/sale-return
 HTTP  7/3/2026 4:47:42 pm ::1 Returned 200 in 1 ms
 HTTP  7/3/2026 4:47:42 pm ::1 GET /_expo/static/js/web/entry-90d754d55e2b0ff395b17ba7c0113c04.js
 HTTP  7/3/2026 4:47:42 pm ::1 Returned 304 in 1 ms
 HTTP  7/3/2026 4:47:42 pm ::1 GET /assets/assets/images/logo-glow.dbca075a49dc45e550c5d2e3e9601039.png
 HTTP  7/3/2026 4:47:42 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:42 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:42 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:42 pm ::1 Returned 200 in 3 ms
 HTTP  7/3/2026 4:47:42 pm ::1 Returned 200 in 3 ms
 HTTP  7/3/2026 4:47:42 pm ::1 GET /assets/node_modules/.pnpm/@expo+vector-icons@15.1.1_e_0551bb4c91465be345a06121634ce70b/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.6e435534bd35da5fef04168860a9b8fa.ttf
 HTTP  7/3/2026 4:47:42 pm ::1 Returned 304 in 4 ms
 HTTP  7/3/2026 4:47:43 pm ::1 GET /billing/purchase-return
 HTTP  7/3/2026 4:47:43 pm ::1 Returned 200 in 2 ms
 HTTP  7/3/2026 4:47:43 pm ::1 GET /_expo/static/js/web/entry-90d754d55e2b0ff395b17ba7c0113c04.js
 HTTP  7/3/2026 4:47:43 pm ::1 Returned 304 in 4 ms
 HTTP  7/3/2026 4:47:43 pm ::1 GET /assets/assets/images/logo-glow.dbca075a49dc45e550c5d2e3e9601039.png
 HTTP  7/3/2026 4:47:43 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:43 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:43 pm ::1 Returned 304 in 45 ms
 HTTP  7/3/2026 4:47:43 pm ::1 Returned 200 in 47 ms
 HTTP  7/3/2026 4:47:43 pm ::1 Returned 200 in 51 ms
 HTTP  7/3/2026 4:47:43 pm ::1 GET /assets/node_modules/.pnpm/@expo+vector-icons@15.1.1_e_0551bb4c91465be345a06121634ce70b/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.6e435534bd35da5fef04168860a9b8fa.ttf
 HTTP  7/3/2026 4:47:43 pm ::1 Returned 304 in 8 ms
 HTTP  7/3/2026 4:47:44 pm ::1 GET /billing/delivery-challan
 HTTP  7/3/2026 4:47:44 pm ::1 Returned 200 in 2 ms
 HTTP  7/3/2026 4:47:44 pm ::1 GET /_expo/static/js/web/entry-90d754d55e2b0ff395b17ba7c0113c04.js
 HTTP  7/3/2026 4:47:44 pm ::1 Returned 304 in 1 ms
 HTTP  7/3/2026 4:47:44 pm ::1 GET /assets/assets/images/logo-glow.dbca075a49dc45e550c5d2e3e9601039.png
 HTTP  7/3/2026 4:47:44 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:44 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:44 pm ::1 Returned 304 in 9 ms
 HTTP  7/3/2026 4:47:44 pm ::1 Returned 200 in 10 ms
 HTTP  7/3/2026 4:47:44 pm ::1 Returned 200 in 13 ms
 HTTP  7/3/2026 4:47:44 pm ::1 GET /assets/node_modules/.pnpm/@expo+vector-icons@15.1.1_e_0551bb4c91465be345a06121634ce70b/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.6e435534bd35da5fef04168860a9b8fa.ttf
 HTTP  7/3/2026 4:47:44 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:45 pm ::1 GET /billing/payment-in
 HTTP  7/3/2026 4:47:45 pm ::1 Returned 200 in 2 ms
 HTTP  7/3/2026 4:47:45 pm ::1 GET /_expo/static/js/web/entry-90d754d55e2b0ff395b17ba7c0113c04.js
 HTTP  7/3/2026 4:47:45 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:45 pm ::1 GET /assets/assets/images/logo-glow.dbca075a49dc45e550c5d2e3e9601039.png
 HTTP  7/3/2026 4:47:45 pm ::1 Returned 304 in 3 ms
 HTTP  7/3/2026 4:47:45 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:45 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:45 pm ::1 Returned 200 in 3 ms
 HTTP  7/3/2026 4:47:45 pm ::1 Returned 200 in 3 ms
 HTTP  7/3/2026 4:47:45 pm ::1 GET /assets/node_modules/.pnpm/@expo+vector-icons@15.1.1_e_0551bb4c91465be345a06121634ce70b/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.6e435534bd35da5fef04168860a9b8fa.ttf
 HTTP  7/3/2026 4:47:45 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:46 pm ::1 GET /billing/payment-out
 HTTP  7/3/2026 4:47:46 pm ::1 Returned 200 in 1 ms
 HTTP  7/3/2026 4:47:46 pm ::1 GET /_expo/static/js/web/entry-90d754d55e2b0ff395b17ba7c0113c04.js
 HTTP  7/3/2026 4:47:46 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:46 pm ::1 GET /assets/assets/images/logo-glow.dbca075a49dc45e550c5d2e3e9601039.png
 HTTP  7/3/2026 4:47:46 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:46 pm ::1 Returned 304 in 3 ms
 HTTP  7/3/2026 4:47:46 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:46 pm ::1 Returned 200 in 5 ms
 HTTP  7/3/2026 4:47:46 pm ::1 Returned 200 in 4 ms
 HTTP  7/3/2026 4:47:46 pm ::1 GET /assets/node_modules/.pnpm/@expo+vector-icons@15.1.1_e_0551bb4c91465be345a06121634ce70b/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.6e435534bd35da5fef04168860a9b8fa.ttf
 HTTP  7/3/2026 4:47:46 pm ::1 Returned 304 in 1 ms
 HTTP  7/3/2026 4:47:47 pm ::1 GET /inventory
 HTTP  7/3/2026 4:47:47 pm ::1 Returned 200 in 3 ms
 HTTP  7/3/2026 4:47:47 pm ::1 GET /_expo/static/js/web/entry-90d754d55e2b0ff395b17ba7c0113c04.js
 HTTP  7/3/2026 4:47:47 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:47 pm ::1 GET /assets/assets/images/logo-glow.dbca075a49dc45e550c5d2e3e9601039.png
 HTTP  7/3/2026 4:47:47 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:47 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:47 pm ::1 Returned 200 in 1 ms
 HTTP  7/3/2026 4:47:47 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:47 pm ::1 Returned 200 in 2 ms
 HTTP  7/3/2026 4:47:47 pm ::1 GET /assets/node_modules/.pnpm/@expo+vector-icons@15.1.1_e_0551bb4c91465be345a06121634ce70b/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.6e435534bd35da5fef04168860a9b8fa.ttf
 HTTP  7/3/2026 4:47:47 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:48 pm ::1 GET /inventory/add-item
 HTTP  7/3/2026 4:47:48 pm ::1 Returned 200 in 5 ms
 HTTP  7/3/2026 4:47:48 pm ::1 GET /_expo/static/js/web/entry-90d754d55e2b0ff395b17ba7c0113c04.js
 HTTP  7/3/2026 4:47:48 pm ::1 Returned 304 in 1 ms
 HTTP  7/3/2026 4:47:48 pm ::1 GET /assets/assets/images/logo-glow.dbca075a49dc45e550c5d2e3e9601039.png
 HTTP  7/3/2026 4:47:48 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:48 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:48 pm ::1 Returned 200 in 3 ms
 HTTP  7/3/2026 4:47:48 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:48 pm ::1 Returned 200 in 3 ms
 HTTP  7/3/2026 4:47:48 pm ::1 GET /assets/node_modules/.pnpm/@expo+vector-icons@15.1.1_e_0551bb4c91465be345a06121634ce70b/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.6e435534bd35da5fef04168860a9b8fa.ttf
 HTTP  7/3/2026 4:47:48 pm ::1 Returned 304 in 3 ms
 HTTP  7/3/2026 4:47:50 pm ::1 GET /inventory/recycle-bin
 HTTP  7/3/2026 4:47:50 pm ::1 Returned 200 in 2 ms
 HTTP  7/3/2026 4:47:50 pm ::1 GET /_expo/static/js/web/entry-90d754d55e2b0ff395b17ba7c0113c04.js
 HTTP  7/3/2026 4:47:50 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:50 pm ::1 GET /assets/assets/images/logo-glow.dbca075a49dc45e550c5d2e3e9601039.png
 HTTP  7/3/2026 4:47:50 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:50 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:50 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:50 pm ::1 Returned 200 in 3 ms
 HTTP  7/3/2026 4:47:50 pm ::1 Returned 200 in 3 ms
 HTTP  7/3/2026 4:47:50 pm ::1 GET /assets/node_modules/.pnpm/@expo+vector-icons@15.1.1_e_0551bb4c91465be345a06121634ce70b/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.6e435534bd35da5fef04168860a9b8fa.ttf
 HTTP  7/3/2026 4:47:50 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:51 pm ::1 GET /accounts
 HTTP  7/3/2026 4:47:51 pm ::1 Returned 200 in 2 ms
 HTTP  7/3/2026 4:47:51 pm ::1 GET /_expo/static/js/web/entry-90d754d55e2b0ff395b17ba7c0113c04.js
 HTTP  7/3/2026 4:47:51 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:51 pm ::1 GET /assets/assets/images/logo-glow.dbca075a49dc45e550c5d2e3e9601039.png
 HTTP  7/3/2026 4:47:51 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:51 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:51 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:51 pm ::1 Returned 200 in 2 ms
 HTTP  7/3/2026 4:47:51 pm ::1 Returned 200 in 3 ms
 HTTP  7/3/2026 4:47:51 pm ::1 GET /assets/node_modules/.pnpm/@expo+vector-icons@15.1.1_e_0551bb4c91465be345a06121634ce70b/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.6e435534bd35da5fef04168860a9b8fa.ttf
 HTTP  7/3/2026 4:47:51 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:52 pm ::1 GET /accounts/cash-bank
 HTTP  7/3/2026 4:47:52 pm ::1 Returned 200 in 2 ms
 HTTP  7/3/2026 4:47:52 pm ::1 GET /_expo/static/js/web/entry-90d754d55e2b0ff395b17ba7c0113c04.js
 HTTP  7/3/2026 4:47:52 pm ::1 Returned 304 in 1 ms
 HTTP  7/3/2026 4:47:52 pm ::1 GET /assets/assets/images/logo-glow.dbca075a49dc45e550c5d2e3e9601039.png
 HTTP  7/3/2026 4:47:52 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:52 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:52 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:52 pm ::1 Returned 200 in 3 ms
 HTTP  7/3/2026 4:47:52 pm ::1 Returned 200 in 3 ms
 HTTP  7/3/2026 4:47:52 pm ::1 GET /assets/node_modules/.pnpm/@expo+vector-icons@15.1.1_e_0551bb4c91465be345a06121634ce70b/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/MaterialCommunityIcons.6e435534bd35da5fef04168860a9b8fa.ttf
 HTTP  7/3/2026 4:47:52 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:53 pm ::1 GET /accounts/cash-bank/add
 HTTP  7/3/2026 4:47:53 pm ::1 Returned 200 in 2 ms
 HTTP  7/3/2026 4:47:53 pm ::1 GET /_expo/static/js/web/entry-90d754d55e2b0ff395b17ba7c0113c04.js
 HTTP  7/3/2026 4:47:53 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:53 pm ::1 GET /assets/assets/images/logo-glow.dbca075a49dc45e550c5d2e3e9601039.png
 HTTP  7/3/2026 4:47:53 pm ::1 Returned 304 in 2 ms
 HTTP  7/3/2026 4:47:53 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:53 pm ::1 Returned 200 in 3 ms
 HTTP  7/3/2026 4:47:53 pm ::1 HEAD /
 HTTP  7/3/2026 4:47:53 pm ::1 Returned 200 in 3 ms
